place_id,domain,error_type,error_message,retry_count,created_at
ChIJhXSu9aVcwokRjWU71Si6jtw,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:38.356856
ChIJH0DTNqJhwokRtDRgdO1QS-c,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:38.148909
ChIJi7JyLk70wokRNq_53OstNAw,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:37.939907
ChIJ3ZV_KSBFwokR8lm8rFzOOEM,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:37.732135
ChIJw-_sYvFawokRKbkTwb6z87I,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:37.521333
ChIJ-aFZdh1cwokRT2aTxp3tdYY,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:37.314793
ChIJvblTOFRFwokRmyiJE6O4Bw4,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:37.105730
ChIJ1efqe_BawokRPXF9A7UGYKg,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:36.896839
ChIJe5bbii1dwokRGEYRCDYm9RM,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:36.685068
ChIJ-7WxuVhEwokRmsWNliefWto,,place_details,"Valid values for the `fields` param for `place` are 'icon', 'name', 'formatted_phone_number', 'current_opening_hours', 'curbside_pickup', 'photo', 'url', 'opening_hours', 'geometry/viewport/northeast/lat', 'user_ratings_total', 'reservable', 'website', 'geometry/viewport/southwest', 'serves_beer', 'type', 'serves_breakfast', 'dine_in', 'vicinity', 'secondary_opening_hours', 'geometry/location', 'serves_wine', 'geometry/location/lng', 'serves_brunch', 'adr_address', 'international_phone_number', 'geometry/viewport', 'takeout', 'geometry/viewport/southwest/lng', 'geometry/viewport/southwest/lat', 'serves_vegetarian_food', 'plus_code', 'address_component', 'wheelchair_accessible_entrance', 'review', 'serves_dinner', 'delivery', 'permanently_closed', 'business_status', 'serves_lunch', 'price_level', 'geometry', 'geometry/viewport/northeast/lng', 'reviews', 'geometry/viewport/northeast', 'geometry/location/lat', 'rating', 'editorial_summary', 'place_id', 'utc_offset', 'formatted_address', these given field(s) are invalid: 'types'",0,2025-12-24T02:57:36.476017
